--- Informe del Cluster 0 ---
Tipus: MEMB
 temps_pujada  temps_baixada  label
     1.329877       0.392791      0
     1.466378       1.724135      0
     0.868725       0.341865      0
     0.848434       0.550418      0
     1.066098       1.731410      0
     0.687953       0.179388      0
     1.743070       1.122727      0
     0.274761       1.030575      0
     1.263471       0.904473      0
     0.905617       0.596494      0
     1.058720       0.392791      0
     0.485046       1.459807      0
     0.848434       1.047551      0
     0.687953       1.459807      0
     1.837145       1.142127      0
     0.846590       0.252139      0
     0.824454       1.571358      0
     0.221267       1.527708      0
     1.206288       0.545568      0
     0.842900       1.537408      0
     1.031051       1.481632      0
     1.656373       0.601344      0
     1.010760       1.054826      0
     1.016294       0.809897      0
     0.544074       1.193053      0
     1.029206       1.069376      0
     1.250559       1.299754      0
