--- Informe del Cluster 1 ---
Tipus: BEBB
 temps_pujada  temps_baixada  label
    -0.381920      -0.138292      1
    -0.944526      -1.510862      1
    -0.562692       0.007210      1
    -1.191704      -0.002490      1
    -0.658612      -0.897328      1
    -0.278622      -0.899753      1
    -1.824405      -0.397770      1
    -1.097629      -0.907028      1
    -0.902100      -1.030705      1
    -0.372697      -0.746976      1
    -0.630942      -1.537537      1
    -0.492597      -1.624838      1
     0.031272      -0.388070      1
    -0.885499      -0.836702      1
    -1.278400      -0.552973      1
    -0.164256      -1.396885      1
    -0.822782      -0.572373      1
    -0.808025      -0.834277      1
    -0.044357      -0.050990      1
    -0.514732      -0.679075      1
    -1.318982      -1.285333      1
    -1.184325      -0.928853      1
    -1.274711      -2.022544      1
    -1.566159      -1.021004      1
    -0.330271      -0.511747      1
    -1.007243      -0.213468      1
    -0.440948      -0.974929      1
    -0.817248      -0.417171      1
    -1.116075      -0.082516      1
    -0.035134      -1.176207      1
    -1.038601      -1.651514      1
    -0.302602      -0.914303      1
    -0.691815      -1.632113      1
    -0.730551      -0.072816      1
    -0.466772      -0.155267      1
    -0.394832      -1.183482      1
    -1.285779      -0.802751      1
    -0.772977      -0.584498      1
    -0.944526      -0.143142      1
    -0.887343      -0.720300      1
    -0.057269      -1.188332      1
