--- Informe del Cluster 2 ---
Tipus: BEMB
 temps_pujada  temps_baixada  label
    -1.324516       0.252139      2
    -1.706350       1.452531      2
    -0.771133       0.232739      2
    -1.295002       0.048436      2
    -0.756376       0.317615      2
    -0.062803       0.184238      2
    -0.606963       1.340980      2
    -0.582983       0.351565      2
    -0.547935       0.955399      2
    -0.937148       0.644995      2
    -0.765599       1.612584      2
    -1.315293       0.623169      2
    -1.520044       1.214878      2
    -1.346651       0.594069      2
    -0.868897       1.018450      2
    -1.195393       1.806587      2
    -1.213839       0.894773      2
    -1.324516       0.269114      2
    -0.394832       0.666820      2
    -0.450171       1.156677      2
    -0.396677       1.122727      2
    -0.123675       1.617434      2
    -0.667835       1.692610      2
    -1.005398       0.048436      2
    -0.857829       0.397641      2
    -1.160345       1.105751      2
    -1.099473       0.897198      2
    -0.455705       0.247289      2
    -0.725018       2.281893      2
    -0.915012       1.576208      2
    -1.186170       0.749271      2
    -0.765599       1.622284      2
    -1.143744       0.729871      2
    -1.440726       1.134852      2
    -1.496064       1.685335      2
    -0.455705       0.720171      2
    -0.536867       0.817172      2
    -1.750620       1.083926      2
    -1.416746       0.620744      2
    -0.155033       0.383091      2
