--- Informe del Cluster 3 ---
Tipus: MEBB
 temps_pujada  temps_baixada  label
     1.394439      -0.288644      3
     0.975712      -0.215893      3
     0.431552      -0.979779      3
     0.420485      -0.191642      3
     1.049497      -2.226247      3
     1.890638      -1.115581      3
     1.077166      -1.304734      3
     0.409417      -0.533572      3
     0.783873      -0.843977      3
     1.379682      -0.261968      3
     0.501648      -0.831852      3
     1.752293      -1.978893      3
     1.036584      -0.776076      3
     0.752515      -0.300769      3
     1.197065      -0.150417      3
     1.816854      -0.625724      3
     0.800474      -1.108306      3
     0.331944      -0.179517      3
     0.684264      -0.681500      3
     0.785717      -1.668489      3
     0.394660      -0.174667      3
     1.060564      -0.926428      3
     0.946198      -0.870652      3
     1.101146      -0.494772      3
     1.005226      -0.072816      3
     0.623392      -1.006454      3
     1.741225      -0.438996      3
     1.093767      -1.704864      3
     0.461066      -1.084055      3
     1.021827      -0.024315      3
     1.759671      -1.217432      3
     0.394660      -1.052530      3
     0.533006       0.048436      3
     1.346479      -0.613599      3
     1.309587      -0.907028      3
     0.778339      -0.097066      3
     1.650839      -0.773651      3
     1.494047      -1.588463      3
     0.656595      -0.320169      3
     0.584655      -0.523872      3
     0.521938      -0.438996      3
     0.427863       0.033886      3
